"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210887","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",-0.463021070282143,7.89733033545432,-1.64726343074143,0.127058353666263,0.5378034391299,-4.90884085200693
"2","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",-0.065777204654621,8.66351715583246,-0.279678716242624,0.784787079826192,0.933344474222386,-6.12869754132462
"3","17211000","Rrs1","59014","ribosome biogenesis regulator 1",0.0377259762574909,5.52935197275634,0.0802939579704739,0.937410655772896,0.985120205050943,-6.16594354064551
"4","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.0928311292161723,8.78830145129257,0.40512616958535,0.69296378715264,0.896143460667298,-6.08443840236888
"5","17211174","A830018L16Rik","320492","RIKEN cDNA A830018L16 gene",-0.047771168431888,5.09580817057072,-0.10150770459915,0.92092974552563,0.979690363706286,-6.1639358687069
"6","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",0.197628290910288,6.23830917614575,0.754258807339075,0.466151699795081,0.786397882997462,-5.88046080584694
"7","17211286","Ly96","17087","lymphocyte antigen 96",-0.217879657213521,8.43903441373473,-0.385640800993798,0.706937939603745,0.899722879046117,-6.09235120205593
"8","17211396","Tmem14a","75712","transmembrane protein 14A",-0.397651916573811,3.49858401007632,-0.980547209581209,0.347383331656719,0.7182371626483,-5.6894780803395
"9","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",-0.426427558027897,4.86711900598082,-0.812465912861048,0.433340333579897,0.772514523251563,-5.8355109500844
"10","17211700","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",0.0165516548829672,8.60090331368295,0.0875563149275477,0.931764702887266,0.983184615170113,-6.1653088967702
"11","17211713","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",-0.274520642450518,4.54839030979131,-0.926342674688723,0.373666870048839,0.733478090865296,-5.73913532720268
"12","17211774","Plekhb2","226971","pleckstrin homology domain containing, family B (evectins) member 2",-0.458540622227617,7.28708916065477,-1.88657034518811,0.0852182773437676,0.472814735232338,-4.56809631192767
"13","17211790","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",0.155908944340058,7.71911374788877,0.533009995251525,0.604371108524405,0.855193679059321,-6.02320571772028
"14","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",0.623323470355218,4.73780688747631,0.916649118720347,0.378511548013138,0.736144782216336,-5.74776293628474
"15","17211822","Cnnm4","94220","cyclin M4",0.15865346439764,4.97763894160967,0.491135704116905,0.632748378991483,0.865137804706744,-6.04501748441642
"16","17211832","Cnnm3","94218","cyclin M3",-0.361801415481039,5.67686230727688,-1.68527133658856,0.119376513896955,0.523296622263948,-4.85644409514608
"17","17211850","Cox5b","12859","cytochrome c oxidase subunit 5B",-0.4658414318523,4.91606663458306,-1.36219688348332,0.199722495227452,0.608835194595184,-5.27742001498744
"18","17211857","4933424G06Rik","71166","RIKEN cDNA 4933424G06 gene",-0.376657415276478,2.09012022973523,-0.801109648827969,0.439620359843389,0.777540406285415,-5.84451408210628
"19","17211867","Zap70","22637","zeta-chain (TCR) associated protein kinase",-0.475531839705949,2.75015709477082,-1.43933553369515,0.177228755940992,0.586911139839948,-5.18223982117839
"20","17211990","Lipt1","623661","lipoyltransferase 1",0.242843817006538,5.84482574712625,0.883748352681148,0.39528143210512,0.746103797482336,-5.77646449324518
"21","17212018","Eif5b","226982","eukaryotic translation initiation factor 5B",-0.00940978454981334,6.16688809896978,-0.0446178535500352,0.965192159564231,0.991751373479524,-6.16826427430518
"22","17212087","Npas2","18143","neuronal PAS domain protein 2",-0.254364561096759,4.33277556010315,-0.827316738734721,0.425217331713307,0.768512675947452,-5.82356847269175
"23","17212174","Il1r2","16178","interleukin 1 receptor, type II",0.684654467012979,3.56702957848417,1.40748437586362,0.186243989045875,0.597564884971967,-5.22197733798569
